mark,epirr_id,data_file_path
H3K27ac,IHECRE00000270.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000270.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000271.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000271.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000276.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000276.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000277.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000277.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000279.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000279.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000280.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000280.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000281.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000281.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000283.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000283.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000284.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000284.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000285.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000285.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000288.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000288.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000290.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000290.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000294.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000294.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000295.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000295.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000296.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000296.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000297.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000297.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000298.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000298.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000301.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000301.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000303.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000303.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000304.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000304.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000306.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000306.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000308.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000308.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000309.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000309.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000310.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000310.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000311.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000311.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000315.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000315.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000316.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000316.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000317.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000317.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000318.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000318.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000321.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000321.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000324.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000324.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000327.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000327.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000329.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000329.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000330.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000330.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000332.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000332.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000335.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000335.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000336.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000336.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000339.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000339.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000341.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000341.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000343.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000343.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000344.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000344.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000345.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000345.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000346.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000346.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000347.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000347.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000348.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000348.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000349.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000349.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000353.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000353.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000354.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000354.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000642.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000642.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000648.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000648.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000649.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000649.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000663.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000663.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000665.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000665.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000666.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000666.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000675.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000675.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000676.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000676.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000683.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000683.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000701.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000701.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000702.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000702.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000704.1,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000704.1_H3K27ac.pval.bw
H3K27ac,IHECRE00000709.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000709.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000718.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000718.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000726.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000726.3_H3K27ac.pval.bw
